Year,Winner,Runners-Up,Points (Winner),Points (Runners-Up),Goals For,Goals Against,Goal Differential,Wins,Draws,Losses,Era
1963,1. FC Köln,Meidericher SV,45,39,78,40,38,17,11,2,2
1964,Werder Bremen,1. FC Köln,41,38,54,29,25,15,11,4,2
1965,TSV 1860 Munich,Borussia Dortmund,50,47,80,40,40,20,10,4,2
1966,Eintracht Braunschweig,TSV 1860 Munich,43,41,49,27,22,17,9,8,2
1967,1. FC Nürnberg,Werder Bremen,47,44,71,37,34,19,9,6,2
1968,Bayern Munich,Alemannia Aachen,46,38,61,31,30,18,10,6,2
1969,Borussia Mönchengladbach,Bayern Munich,51,47,71,29,42,23,5,6,2
1970,Borussia Mönchengladbach,Bayern Munich,50,48,77,35,42,20,10,4,2
1971,Bayern Munich,FC Schalke 04,55,52,101,38,63,24,7,3,2
1972,Bayern Munich,1. FC Köln,54,43,93,29,64,25,4,5,2
1973,Bayern Munich,Borussia Mönchengladbach,49,48,95,53,42,20,9,5,2
1974,Borussia Mönchengladbach,Hertha BSC,50,44,86,40,46,21,8,5,2
1975,Borussia Mönchengladbach,Hamburger SV,45,41,66,37,29,16,13,5,2
1976,Borussia Mönchengladbach,FC Schalke 04,44,43,58,34,24,17,10,7,2
1977,1. FC Köln,Borussia Mönchengladbach,48,48,86,41,45,22,4,8,2
1978,Hamburger SV,VfB Stuttgart,49,48,78,32,46,21,7,6,2
1979,Bayern Munich,Hamburger SV,50,48,84,33,51,22,6,6,2
1980,Bayern Munich,Hamburger SV,53,49,89,41,48,22,9,3,2
1981,Hamburger SV,1. FC Köln,48,45,95,45,50,18,12,4,2
1982,Hamburger SV,Werder Bremen,52,52,79,33,46,20,12,2,2
1983,VfB Stuttgart,Hamburger SV,48,48,79,33,46,19,10,5,2
1984,Bayern Munich,Werder Bremen,50,46,79,38,41,21,8,5,2
1985,Bayern Munich,Werder Bremen,49,49,82,31,51,21,7,6,2
1986,Bayern Munich,Hamburger SV,53,47,67,31,36,20,13,1,2
1987,Werder Bremen,Bayern Munich,52,48,61,22,39,22,8,4,2
1988,Bayern Munich,1. FC Köln,50,45,67,26,41,19,12,3,2
1989,Bayern Munich,1. FC Köln,49,43,64,28,36,19,11,4,2
1990,1. FC Kaiserslautern,Bayern Munich,48,45,72,45,27,19,10,5,2
1991,VfB Stuttgart,Borussia Dortmund,52,52,62,32,30,21,10,7,2
1992,Werder Bremen,Bayern Munich,48,47,63,30,33,19,10,5,2
1993,Bayern Munich,1. FC Kaiserslautern,44,43,68,37,31,17,10,7,2
1994,Borussia Dortmund,Werder Bremen,49,48,67,33,34,20,9,5,2
1995,Borussia Dortmund,Bayern Munich,68,62,76,38,38,19,11,4,3
1996,Bayern Munich,Bayer 04 Leverkusen,71,69,68,34,34,20,11,3,3
1997,1. FC Kaiserslautern,Bayern Munich,68,66,63,39,24,19,11,4,3
1998,Bayern Munich,Bayer 04 Leverkusen,78,63,76,28,48,24,6,4,3
1999,Bayern Munich,Bayer 04 Leverkusen,73,73,73,28,45,22,7,5,3
2000,Bayern Munich,FC Schalke 04,63,62,62,37,25,19,6,9,3
2001,Borussia Dortmund,Bayer 04 Leverkusen,70,69,62,33,29,21,7,6,3
2002,Bayern Munich,VfB Stuttgart,75,59,70,25,45,23,6,5,3
2003,Werder Bremen,Bayern Munich,74,68,79,38,41,22,8,4,3
2004,Bayern Munich,FC Schalke 04,77,63,75,33,42,24,5,5,3
2005,Bayern Munich,Werder Bremen,75,70,67,32,35,22,9,3,3
2006,VfB Stuttgart,FC Schalke 04,70,68,61,37,24,21,7,6,3
2007,Bayern Munich,Werder Bremen,76,66,68,21,47,22,10,2,3
2008,VfL Wolfsburg,Bayern Munich,69,67,80,41,39,21,6,7,3
2009,Bayern Munich,FC Schalke 04,70,65,72,31,41,20,10,4,3
2010,Borussia Dortmund,Bayer 04 Leverkusen,75,68,67,22,45,23,6,5,3
2011,Borussia Dortmund,Bayern Munich,81,73,80,25,55,25,6,3,3
2012,Bayern Munich,Borussia Dortmund,91,66,98,18,80,29,4,1,3
2013,Bayern Munich,Borussia Dortmund,90,71,94,23,71,29,3,2,3
2014,Bayern Munich,VfL Wolfsburg,79,69,80,18,62,25,4,5,3
2015,Bayern Munich,Borussia Dortmund,88,78,80,17,63,28,4,2,3
2016,Bayern Munich,RB Leipzig,82,67,89,22,67,25,7,2,3
2017,Bayern Munich,FC Schalke 04,84,63,92,28,64,27,3,4,3
2018,Bayern Munich,Borussia Dortmund,78,76,88,32,56,24,6,4,3
2019,Bayern Munich,Borussia Dortmund,82,69,100,32,68,26,4,4,3
2020,Bayern Munich,RB Leipzig,78,65,99,44,55,24,6,4,3
